timestamp,HR,EDA
2020-07-07 16:24:44,112.48,0.19287525
2020-07-07 16:24:45,112.52,0.1947975
2020-07-07 16:24:46,112.55,0.19639925
2020-07-07 16:24:47,112.58,0.19832149999999998
2020-07-07 16:24:48,112.63,0.19896275
2020-07-07 16:24:49,112.68,0.20088475
2020-07-07 16:24:50,112.72,0.19543824999999998
2020-07-07 16:24:51,112.75,0.198322
2020-07-07 16:24:52,112.75,0.20152575
2020-07-07 16:24:53,112.75,0.19704025
2020-07-07 16:24:54,112.75,0.19864199999999999
2020-07-07 16:24:55,112.75,0.20184625
2020-07-07 16:24:56,112.75,0.22106925
2020-07-07 16:24:57,112.73,0.2284385
2020-07-07 16:24:58,112.73,0.235167
2020-07-07 16:24:59,112.72,0.24253575
2020-07-07 16:25:00,112.73,0.244458
2020-07-07 16:25:01,112.75,0.244458
2020-07-07 16:25:02,112.77,0.208254
2020-07-07 16:25:03,112.8,0.20056449999999998
2020-07-07 16:25:04,112.82,0.19575875
2020-07-07 16:25:05,112.83,0.1915935
2020-07-07 16:25:06,112.88,0.1864675
2020-07-07 16:25:07,112.92,0.19864225
2020-07-07 16:25:08,112.88,0.20088475
2020-07-07 16:25:09,112.82,0.18262275
2020-07-07 16:25:10,112.87,0.1774965
2020-07-07 16:25:11,113.03,0.19639925
2020-07-07 16:25:12,113.28,0.1858265
2020-07-07 16:25:13,113.58,0.18422475
2020-07-07 16:25:14,113.85,0.1915935
2020-07-07 16:25:15,114.1,0.206652
2020-07-07 16:25:16,114.35,0.2053705
2020-07-07 16:25:17,114.58,0.20504975
2020-07-07 16:25:18,114.83,0.20569075
2020-07-07 16:25:19,115.13,0.20889475
2020-07-07 16:25:20,115.33,0.2047295
2020-07-07 16:25:21,115.62,0.201205
2020-07-07 16:25:22,115.93,0.2015255
2020-07-07 16:25:23,116.27,0.20248675
2020-07-07 16:25:24,116.62,0.2015255
2020-07-07 16:25:25,117.02,0.200885
2020-07-07 16:25:26,117.43,0.20216625
2020-07-07 16:25:27,117.85,0.20216625
2020-07-07 16:25:28,118.28,0.20024425
2020-07-07 16:25:29,118.73,0.19992375
2020-07-07 16:25:30,119.15,0.20088475
2020-07-07 16:25:31,119.78,0.20120525
2020-07-07 16:25:32,120.67,0.20056425
2020-07-07 16:25:33,121.55,0.20312750000000002
2020-07-07 16:25:34,122.43,0.20248675
2020-07-07 16:25:35,123.32,0.200885
2020-07-07 16:25:36,124.2,0.20505
2020-07-07 16:25:37,125.07,0.201846
2020-07-07 16:25:38,125.93,0.2005645
2020-07-07 16:25:39,126.78,0.20280725
2020-07-07 16:25:40,127.67,0.20601125
2020-07-07 16:25:41,128.53,0.206652
2020-07-07 16:25:42,129.4,0.20280725
2020-07-07 16:25:43,130.23,0.20408874999999999
2020-07-07 16:25:44,131.08,0.20376850000000002
2020-07-07 20:17:17,,0.10380675
2020-07-07 20:17:18,,0.15058349999999998
2020-07-07 20:17:19,,0.16083625000000001
2020-07-07 20:17:20,,0.16884575000000002
2020-07-07 20:17:21,,0.158914
2020-07-07 20:17:22,,0.162438
2020-07-07 20:17:23,,0.170448
2020-07-07 20:17:24,,0.17429275
2020-07-07 20:17:25,,0.1701275
2020-07-07 20:17:26,,0.17973925000000002
2020-07-07 20:17:27,95.0,0.17204975
2020-07-07 20:17:28,71.5,0.18134125
2020-07-07 20:17:29,63.67,0.17557425
2020-07-07 20:17:30,68.5,0.17172925
2020-07-07 20:17:31,67.6,0.16307875
2020-07-07 20:17:32,65.83,0.16307850000000002
2020-07-07 20:17:33,66.86,0.165642
2020-07-07 20:17:34,68.25,0.16628275
2020-07-07 20:17:35,69.11,0.164681
2020-07-07 20:17:36,69.7,0.1669235
2020-07-07 20:17:37,70.18,0.15891375
2020-07-07 20:17:38,70.58,0.15891375
2020-07-07 20:17:39,71.08,0.160836
2020-07-07 20:17:40,71.57,0.15731175
2020-07-07 20:17:41,72.0,0.15795275
2020-07-07 20:17:42,72.5,0.159875
2020-07-07 20:17:43,72.76,0.16948675
2020-07-07 20:17:44,73.11,0.18838975
2020-07-07 20:17:45,73.37,0.18806925
2020-07-07 20:17:46,73.55,0.18806925
2020-07-07 20:17:47,73.67,0.18070025
2020-07-07 20:17:48,73.73,0.1810205
2020-07-07 20:17:49,73.83,0.1710885
2020-07-07 20:17:50,74.0,0.1678845
2020-07-07 20:17:51,73.96,0.17204950000000002
2020-07-07 20:17:52,73.96,0.17909825000000001
2020-07-07 20:17:53,73.96,0.18005949999999998
2020-07-07 20:17:54,73.96,0.17525400000000002
2020-07-07 20:17:55,73.97,0.1883895
2020-07-07 20:17:56,73.97,0.217225
2020-07-07 20:17:57,73.84,0.2258755
2020-07-07 20:17:58,74.03,0.2159435
2020-07-07 20:17:59,74.21,0.21466174999999998
2020-07-07 20:18:00,74.24,0.216584
2020-07-07 20:18:01,74.26,0.22138975
2020-07-07 20:18:02,74.28,0.197681
2020-07-07 20:18:03,74.08,0.1931955
2020-07-07 20:18:04,73.92,0.187749
2020-07-07 20:18:05,73.74,0.18806925
